a394ea0,Ibtissem-01,2024-12-18,gestion validation de la completion d'un defi après une participation
0df8f4b,Ibtissem-01,2024-12-18,add corsheaders for the request,
0ce83d0,Ibtissem-01,2024-12-18,add points to database and statistics sent to the front
039d196,Ibtissem-01,2024-12-18,update Date fields, update User table; add register and login methods in user_controller
6e14421,Ibtissem-01,2024-12-18,Merge branch 'participation_challenge' into develop
44da9c1,Ibtissem-01,2024-12-18,replace name by first_name, remove one required fields for add_participation
8201079,Ibtissem-01,2024-12-18,update LICENCE link in the readme
ef1dbb3,Ibtissem-01,2024-12-18,Merge branch 'participation_challenge' into develop
381058a,Ibtissem-01,2024-12-18,update fields expected
0eb6ca5,Ibtissem-01,2024-12-18,Merge branch 'reporting' into develop
e3608ca,Ibtissem-01,2024-12-18,correction to views.py
f564fe2,Ibtissem-01,2024-12-18,Forcing new analysis
bae3470,Ibtissem-01,2024-12-18,Forcing new analysis
5937b41,Ibtissem-01,2024-12-13,remove unused hello_controller
e4eefc4,Ibtissem-01,2024-12-13,Merge branch 'reporting' into develop
c42e2b4,Ibtissem-01,2024-12-13,Merge branch 'participation_challenge' into develop
f62dbf2,Ibtissem-01,2024-12-13,add elements in gitignore
482e94f,Ibtissem-01,2024-12-13,add default to timezone attribut in models.py; add methods add_report et get_reports and their routes
0efd5db,Ibtissem-01,2024-12-13,Merge branch 'participation_challenge' of https://github.com/CleanUp-Heroes/BackendPython into participation_challenge
e41cc6d,Ibtissem-01,2024-12-13,add utils file containing methods used in multiple controllers; add id_proof in the creation of a participation
dbf9c81,Ibtissem-01,2024-12-13,Fusion file app/models.py from participation_challenge branch
7afcdca,Ibtissem Rahim,2024-12-13,Update README.md
1baa6f4,Ibtissem-01,2024-12-13,update model, add proof table; add add_participation method; update method of the previous ones; add media url in the settings; add url of the new method: ignore the media folder;
8ba949e,Ibtissem-01,2024-12-12,add methods to get the user's statistics and challenges available for him in challenge_controller file. Update the database model, the readme, settings and requirements files. Remove challenges folder to implement it in app/
c2ff62d,Ibtissem-01,2024-12-11,Merge branch 'develop' of https://github.com/CleanUp-Heroes/BackendPython into develop
88c0629,Ibtissem-01,2024-12-11,configuration of the database in settings.py and add file requirements.txt
d3c1402,ClaireAdjedomole,2024-12-10,pesonne 2 proposition 1
fb3e9f2,ClaireAdjedomole,2024-12-09,mise en place de l'API pour les méthodes Get et Post (je pense que après il faut que je déplace l'app challenges dans APP/fr/parinanterre/cleanupheroes
fdd7540,ClaireAdjedomole,2024-12-09,j'ai cré l'app challenges/ je l'ai ajouté dans setting qui se trouve dans l'app Backend
bca8c6e,Ibtissem-01,2024-12-07,Merge branch 'main' of https://github.com/CleanUp-Heroes/BackendPython
79f1676,Ibtissem-01,2024-12-07,swagger documentation added
f2b7e62,Ibtissem Rahim,2024-12-07,Update static.yml
0a02641,Ibtissem Rahim,2024-12-07,Create static.yml
3cf44bf,Ibtissem-01,2024-12-07,remove static.yml to configure the page in github.com
32449ae,Ibtissem-01,2024-12-07,add badges
8bb3a1a,Ibtissem-01,2024-12-07,correction added to sonar.yml
d6df940,Ibtissem-01,2024-12-07,correction on sonar.yml
471dba2,Ibtissem-01,2024-12-07,add python version
0a0747d,Ibtissem-01,2024-12-07,add static page; configuration of sonarcube and java CI; add hello api; add asciidoctor; documentations
e0734d2,Ibtissem Rahim,2024-12-06,Initial commit
